"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,Roast And Brew Cafe,"$$ • Cafe, Coffee",$$,29.8030393,-95.41578
"Houston, TX",Houston,M&M Grill,"$$ • American, Burgers",$$,29.7012552,-95.3856709
"Houston, TX",Houston,Taqueria el sol de Mexico,"$$ • Breakfast & Brunch, Mexican",$$,29.7470557,-95.3023252
"Houston, TX",Houston,Kung Fu Tea,"$$ • Fruit Tea, Milk Tea",$$,29.7427382,-95.3798672
"Houston, TX",Houston,moonbowls - Healthy Korean Bowls,"$ • Salad, Beverages",Unknown,29.7226889,-95.3704827
"Houston, TX",Houston,Rush Bowls,"$$ • Caterers, Healthy",$$,29.7710436,-95.4219022
"Houston, TX",Houston,Mint Thai Kitchen,"$$ • Thai, Asian",$$,29.7601874,-95.3986191
"Houston, TX",Houston,Niko Niko's,"$ • Greek, American",$,29.7626521,-95.3621633
"Houston, TX",Houston,Dollar General,"$$ • Convenience, Grocery",$$,29.740013,-95.340277
"Houston, TX",Houston,Melange Creperie,"$$ • Pickup, Creperies",$$,29.7837446,-95.3980249
"Houston, TX",Houston,IHOP,"$ • Chicken, Milk Shakes",$,29.729884,-95.416786
"Houston, TX",Houston,Gusto Gourmet,"$ • Latin American, Venezuelan",$,29.7362742,-95.4108353
"Houston, TX",Houston,Miri’s Kitchen,"$$ • Persian, Vegan",$$,29.7609367,-95.4204242
"Houston, TX",Houston,LA Crawfish,"$$ • Pickup, Pho",$$,29.7322253,-95.4408877
"Houston, TX",Houston,Romano's Pizza,"$$ • Takeout, Pickup",$$,29.7543716,-95.4003685
"Houston, TX",Houston,La Vibra Tacos,"$$ • Pickup, Takeout",$$,29.779766,-95.3985646
"Houston, TX",Houston,Golden Hunan Chinese Restaurant (Heights),$$ • Chinese,$$,29.7766846474493,-95.411211161377
"Houston, TX",Houston,The Flying Dumpling,"$$ • Asian Fusion, Chinese",$$,29.7191839,-95.3376585
"Houston, TX",Houston,Piola,"$$ • Pizza, Meatballs",$$,29.7428752503215,-95.3798946531896
"Houston, TX",Houston,Saltgrass Steak House,"$ • Steak, Dinner",$,29.7535679,-95.357969
"Houston, TX",Houston,Cafe Ginger,"$$ • Chinese, Takeout",$$,29.754336,-95.402018
"Houston, TX",Houston,Collina's,"$$ • Italian, Pizza",$$,29.802468,-95.4061856
"Houston, TX",Houston,Connie's Seafood (Heights),"$$ • Seafood, Fish & Chips",$$,29.8108938,-95.3823608
"Houston, TX",Houston,Sapporo Japanese Sushi & Bar,"$$ • Japanese, Takeout",$$,29.7633057,-95.3620762
"Houston, TX",Houston,Baskin-Robbins,"$$ • Ice Cream, Milk Shakes",$$,29.7424853,-95.4256238
"Houston, TX",Houston,Jamba Juice,"$$ • Juice Bar, Acai Bowls",$$,29.7746848,-95.3980834
"Houston, TX",Houston,Urban Eats,"$$ • Sandwich, Pickup",$$,29.7695664,-95.3947899
"Houston, TX",Houston,Clutch City Cluckers,"$$ • Salads, Sandwiches",$$,29.7429116,-95.3962661
"Houston, TX",Houston,JINYA Ramen Bar,"$$ • Chicken, Gluten-Free",$$,29.803006,-95.4055768
"Houston, TX",Houston,The Daily Egg,"$$ • Cafe, Coffee",$$,29.7226889,-95.3704827
"Houston, TX",Houston,Tortilleria & Taqueria La Reyna,"$$ • Mexican, Tacos",$$,29.7300095,-95.3107814
"Houston, TX",Houston,El Tiempo Cantina,"$$ • Enchiladas, Chicken",$$,29.7447379,-95.3856887
"Houston, TX",Houston,Kim Son Restaurant,"$$ • Chinese, Asian",$$,29.7458523,-95.3602462
"Houston, TX",Houston,El takonero,"$$ • Mexican, Tacos",$$,29.7120829,-95.3162341
"Houston, TX",Houston,Spaghetti Western Italian Cafe,"$$ • Italian, Sandwiches",$$,29.7751029,-95.4093737
"Houston, TX",Houston,AL Quick Stop (Heights),"$$ • Sandwich, Fast Food",$$,29.7903602,-95.4030538
"Houston, TX",Houston,Cosmo Food With Mood,"$$ • Breakfast, Sandwiches",$$,29.714931,-95.38083
"Houston, TX",Houston,ZOA Moroccan Kitchen,"$$ • Moroccan, Sandwiches",$$,29.7698829,-95.4089678
"Houston, TX",Houston,Wanna Bao,"$ • Pickup, Szechuan",$,29.747711,-95.3802753
"Houston, TX",Houston,Kiran's,"$$$ • Soup, Beverages",$$$,29.733959,-95.422517
"Houston, TX",Houston,Black Walnut Cafe,"$$ • American (New), Cafes",$$,29.761883,-95.4180386
"Houston, TX",Houston,"7 Leaves Cafe","$$ • Beverages, Bubble Tea",$$,29.7322206,-95.4393527
"Houston, TX",Houston,Postino,"$$ • Italian, American (New)",$$,29.7466712576973,-95.3903216249212
"Houston, TX",Houston,Grinder's Coffee Bar,"$$ • Coffee, Breakfast",$$,29.7233614,-95.4188488
"Houston, TX",Houston,Dish Society,"$$ • Healthy, American (New)",$$,29.7904676,-95.3981711
"Houston, TX",Houston,Birraporetti's,"$$ • Takeout, Italian",$$,29.7623462,-95.3649722
"Houston, TX",Houston,Smoothie King,"$$ • Vegan, Vegetarian Friendly",$$,29.75861,-95.3654698
"Houston, TX",Houston,El Taco Rico Aracely,"$$ • Mexican Food, Mexican",$$,29.7460539,-95.3579455
"Houston, TX",Houston,Rodeo Goat,"$$ • Pickup, Burgers",$$,29.7500755,-95.3558479
"Houston, TX",Houston,Trendy Dumpling,"$$ • Asian, Chinese",$$,29.728557,-95.432086
"Houston, TX",Houston,Ike's Love & Sandwiches,"$$ • Meatballs, Lunch",$$,29.790485,-95.3980772
"Houston, TX",Houston,Empire Cafe,"$$ • Coffee, Takeout",$$,29.7428851,-95.4035421
"Houston, TX",Houston,Poke Fresh,"$$ • Asian, Poke",$$,29.7581013,-95.3699503
